FBgn0000659	CNS ML-DmBG2-c2	0
FBgn0000659	L3 CNS	29
FBgn0000659	L3 Wand carcass	6
FBgn0000659	L3 Wand dig sys	48
FBgn0000659	L3 Wand fat	0
FBgn0000659	L3 Wand imag disc	8
FBgn0000659	L3 Wand saliv	8
FBgn0000659	P15	9
FBgn0000659	P5	15
FBgn0000659	P6	10
FBgn0000659	P8	7
FBgn0000659	P8 CNS	18
FBgn0000659	P8 fat	6
FBgn0000659	P9-10	5
FBgn0000659	Schneider line 2 S2R+	0
FBgn0000659	Schneider line 2 Sg4	0
FBgn0000659	WPP fat	3
FBgn0000659	WPP saliv	6
FBgn0000659	adult female 01day	6
FBgn0000659	adult female 05day	2
FBgn0000659	adult female 30day	2
FBgn0000659	adult male 01day	7
FBgn0000659	adult male 05day	9
FBgn0000659	adult male 30day	11
FBgn0000659	antennal disc ML-DmD20-c5	0
FBgn0000659	embryo 00-02hr	1
FBgn0000659	embryo 02-04hr	21
FBgn0000659	embryo 04-06hr	39
FBgn0000659	embryo 06-08hr	56
FBgn0000659	embryo 08-10hr	49
FBgn0000659	embryo 10-12hr	32
FBgn0000659	embryo 12-14hr	28
FBgn0000659	embryo 14-16hr	22
FBgn0000659	embryo 16-18hr	18
FBgn0000659	embryo 18-20hr	21
FBgn0000659	embryo 20-22hr	11
FBgn0000659	embryo 22-24hr	10
FBgn0000659	embryonic 1182-4H	0
FBgn0000659	embryonic GM2	0
FBgn0000659	embryonic Kc167	0
FBgn0000659	embryonic S1	0
FBgn0000659	embryonic S3	0
FBgn0000659	eye-antennal disc ML-DmD11	0
FBgn0000659	haltere disc ML-DmD17-c3	0
FBgn0000659	larva L1	12
FBgn0000659	larva L2	8
FBgn0000659	larva L3 12hr old	7
FBgn0000659	larva L3 late, Zn 5mM	14
FBgn0000659	larva L3 puffstage 1-2	5
FBgn0000659	larva L3 puffstage 3-6	11
FBgn0000659	larva L3 puffstage 7-9	14
FBgn0000659	larva L3, Caffeine 1.5mg/ml	9
FBgn0000659	larva L3, Cd 12hr	7
FBgn0000659	larva L3, Cd 6hr	9
FBgn0000659	larva L3, Cu 0.5mM	13
FBgn0000659	larva L3, EtOH 10	6
FBgn0000659	larva L3, EtOH 2.5	5
FBgn0000659	larva L3, EtOH 5	6
FBgn0000659	larva L3, Rotenone 2μg	6
FBgn0000659	larva L3, Rotenone 8μg	5
FBgn0000659	leg disc CME L1	0
FBgn0000659	mixed discs ML-DmD4-c1	0
FBgn0000659	ovary OSC	0
FBgn0000659	ovary OSS	0
FBgn0000659	ovary fGS/OSS	0
FBgn0000659	tumorous blood cells mbn2	0
FBgn0000659	white prepupae new	18
FBgn0000659	wing disc CME-W2	0
FBgn0000659	wing disc ML-DmD16-c3	0
FBgn0000659	wing disc ML-DmD21	0
FBgn0000659	wing disc ML-DmD32	0
FBgn0000659	wing disc ML-DmD8	0
FBgn0000659	wing disc ML-DmD9	0
FBgn0037972	4-day Adult, Caffeine 2.5mg/ml	5
FBgn0037972	4-day Adult, Caffeine 25mg/ml	15
FBgn0037972	4-day Adult, Cd 0.05M	7
FBgn0037972	4-day Adult, Cd 0.1M	8
FBgn0037972	4-day Adult, Cu 15mM	6
FBgn0037972	4-day Adult, Paraquat 10mM	4
FBgn0037972	4-day Adult, Paraquat 5mM	2
FBgn0037972	4-day Adult, Zn 4.5mM	5
FBgn0037972	4-day Adult, cold 1	20
FBgn0037972	4-day Adult, cold 2	17
